id,aclength,intplan,dataplan,datagb,ommin,omcall,otmin,otcall,ngmin,ngcall,imin,icall,cuscall,churn
381-3491,64,0,0,0,237.1,92,194.5,108,13.7,10,0,0,1,0
390-5067,46,1,1,1.5G,174.3,102,150.8,72,17.6,7,15.5,4,3,0
379-1741,159,0,0,0,237,103,231.6,100,51.3,17,11.3,2,2,0
374-4809,70,0,0,0,184,76,166.1,75,19.7,8,5.8,2,0,0
439-8184,45,0,1,2G,213.2,60,123.2,82,74.8,17,14.7,5,2,1
432-3705,138,0,1,1.5G,254.6,80,261.6,111,11.8,9,13.8,3,1,1
383-4971,166,0,0,0,40.4,44,129.7,91,5.4,12,13.1,2,2,0
421-2373,114,0,1,1.5G,209.9,86,194.4,122,4.1,9,3.7,1,2,0
422-2405,44,0,1,500M,191,66,173.9,116,35.4,13,14.8,8,2,1
394-8648,67,0,0,0,265.9,61,208.2,99,18,2,13.5,4,4,1
422-4864,112,0,0,0,192.2,96,175.9,79,10.1,8,14.2,2,0,0
413-3072,165,0,0,0,128.2,63,153.1,97,3.6,8,10.6,3,1,0
439-7836,162,0,0,0,117.3,49,201.1,61,10,6,0.1,1,1,0
365-3203,96,0,0,0,288,104,220.6,113,51.7,17,10.9,2,1,0
403-6568,107,0,0,0,112.6,84,234.1,109,4,9,22.8,8,2,0
400-4035,99,0,0,0,275.6,105,279.4,98,1.8,3,16.1,3,2,0
446-1374,152,0,0,0,108.4,45,111.6,101,12.9,6,11,4,2,0
414-1241,59,0,1,1.5G,165.4,61,209.9,85,14,15,8,2,0,0
357-1613,83,0,0,0,160.6,70,164.2,51,7.5,3,11.8,4,4,0
377-4439,90,0,0,0,201.9,98,231,110,15.7,3,10.8,3,0,0
408-5677,95,0,0,0,296.7,105,216.7,100,42.5,17,12.9,3,1,0
355-6146,87,0,1,1G,171.2,65,293.9,146,25,15,8.2,3,2,0
362-6730,139,1,0,0,191.9,97,152,103,5.6,6,45.2,16,1,1
424-9185,136,0,0,0,187.9,72,227.9,98,14.4,4,14.8,1,3,0
420-5446,79,0,0,0,272.9,99,310,119,26.3,12,11.2,2,3,1
430-3662,120,0,0,0,105.5,67,186.6,102,3.2,8,11.1,3,4,0
403-7959,59,0,1,1.5G,92,76,150,92,26.1,7,7.3,1,1,0
372-2141,123,0,0,0,129.4,70,158,47,28,8,0,0,1,0
408-8926,59,0,0,0,185.4,58,151.9,87,15.5,4,14.6,2,1,1
403-3344,130,0,0,0,192.1,63,148.5,79,31.3,16,13.6,5,2,0
413-4212,132,0,1,1G,132.7,50,211.4,104,46.4,17,0,0,2,0
438-9286,101,0,0,0,242.5,105,220.1,89,34.9,5,8.3,1,3,1
420-9634,63,0,0,0,187.5,66,209.8,84,7.8,4,12,2,1,0
402-1765,173,0,1,1.5G,129.5,43,166.3,120,59.3,14,7.9,1,4,0
381-9587,157,1,0,0,206.3,80,241.5,64,19.3,7,18.8,8,4,1
352-3383,95,0,0,0,155.4,56,132.5,93,24.2,15,15.5,5,0,0
409-9934,86,0,0,0,232.7,75,203.9,76,19.6,6,5.9,1,0,0
366-8488,85,0,0,0,191.3,73,232.6,79,27.3,5,9,1,4,0
381-9830,189,0,0,0,161.7,50,162.7,93,26.4,9,0,0,1,0
374-6478,73,1,0,0,155.9,72,198.9,72,41.9,14,18.4,6,1,1
365-1395,70,1,1,1.5G,212.1,86,252.8,105,12.7,6,18.3,7,5,1
402-7267,66,0,1,2G,133.4,58,178.1,64,16.3,2,9.8,3,1,0
416-1484,35,0,0,0,99.7,56,240.2,120,3.6,2,6.7,1,5,0
444-3631,110,0,0,0,231.9,71,268.8,124,15.3,4,0,0,1,0
445-3952,155,0,1,250M,257.6,80,173.5,87,14.5,5,1.8,1,1,0
437-9354,135,0,0,0,211.3,70,265.9,130,23.8,12,2.3,2,2,0
366-2216,175,0,0,0,259.3,89,256.3,116,17,16,0,0,0,0
388-3236,97,0,1,500M,225.5,81,220.4,89,5.7,1,6,1,3,1
362-9280,119,0,0,0,139.1,32,118.1,67,58.6,19,8.4,4,1,0
432-8973,88,0,0,0,128.2,44,134.5,83,37.9,16,9.1,1,1,0
406-8590,76,0,0,0,191.4,68,249.9,114,20.6,9,4.5,3,1,0
384-1584,146,0,0,0,182.9,91,248.4,93,2.8,2,9.6,1,0,0
446-3528,110,0,1,1.5G,187.3,72,187.7,102,26,11,16.1,5,3,0
414-4206,113,0,1,500M,209.6,73,192.6,127,20.6,5,11.6,3,7,1
408-7196,68,1,0,0,149.3,64,66,57,14,5,15.9,5,3,1
450-7448,4,0,0,0,202.2,84,220.7,102,14.4,5,15.2,3,2,0
427-7737,171,0,0,0,251.3,71,238.9,139,1.3,5,15.5,3,2,1
400-4216,71,0,0,0,219.6,60,203.5,101,18.3,8,10.6,2,3,0
395-2156,198,0,0,0,100.1,48,217.9,92,19.1,5,22.1,5,0,1
435-3173,130,0,0,0,189.5,78,187.3,61,10.6,10,14.4,1,1,0
450-9845,105,0,0,0,232.5,103,205.5,92,37.2,16,0,0,1,0
399-3157,185,0,1,1.5G,253.6,72,161.2,66,25.8,10,14,2,2,1
384-4865,65,0,0,0,209.3,55,239,107,50.2,15,5.3,1,0,0
373-7682,141,0,0,0,179.8,47,110.6,68,81.7,18,11.3,3,0,0
391-6748,100,0,0,0,173.5,83,200.6,95,19.1,9,9.7,3,0,0
446-4306,76,0,0,0,222.2,82,165.1,102,17.1,1,3.2,1,2,0
381-6551,122,0,1,2G,209.1,73,202.6,108,23.5,14,9.2,3,2,0
366-3477,101,0,1,1.5G,250.3,93,189.4,89,8.7,4,9.8,1,1,1
371-7472,80,0,1,1G,175.1,69,149.2,93,36.6,10,20.8,6,2,0
387-1365,119,0,0,0,229.3,98,267.4,122,39,13,0,0,1,0
416-6958,92,0,0,0,214.3,82,182.7,98,3.3,7,14.9,5,1,0
365-7238,179,0,1,1G,173.6,66,207.9,142,10.9,5,8.6,1,1,0
416-3737,147,0,0,0,109.8,74,153.8,89,16.9,6,18,2,0,0
442-5396,110,0,0,0,176.1,81,163.9,32,33.7,14,0,0,0,0
359-2145,93,0,1,250M,156.4,78,133.2,83,10.5,8,8.8,4,1,0
442-8667,136,0,0,0,175.6,50,211.8,98,30.8,15,18.4,2,2,0
440-1930,104,0,1,1.5G,289.4,76,232.8,87,15.8,12,4.7,1,1,0
402-6185,109,0,0,0,218.3,93,305.6,120,22.9,8,4.5,1,2,1
387-3874,103,0,0,0,125.6,53,154.7,94,43.3,11,0,0,1,0
389-7694,99,0,0,0,249,93,297.8,108,16.1,11,4.6,3,2,0
431-6663,104,0,0,0,214.4,62,190.3,94,19.7,4,9.4,1,0,0
371-1251,91,0,0,0,119.2,58,168.5,72,15.2,9,7.8,3,1,0
443-9926,79,0,0,0,234.1,100,142.2,52,28.6,6,10.9,4,1,0
361-8474,71,0,0,0,277.9,88,211.2,117,39.1,12,15.1,3,2,0
438-7258,96,1,0,0,207.9,80,161.3,105,15.9,12,22.7,4,4,1
403-7421,48,0,0,0,244.7,88,203.2,126,10.9,12,17.9,5,1,0
432-2850,74,0,0,0,177.2,55,154.5,96,11.3,16,3.8,2,1,1
445-9035,145,0,1,1G,166.7,59,172.9,89,20.5,8,9.1,2,1,0
436-4907,119,0,0,0,141.2,74,138.1,66,32.3,20,15.5,4,1,0
356-8406,212,0,0,0,194.1,75,262.3,110,15.8,2,11.1,4,1,0
395-8125,121,0,0,0,171,86,232.7,92,40.7,13,10.7,5,1,0
427-5945,60,0,1,1G,151.6,53,119.9,45,17.4,12,9.9,1,2,0
373-5095,69,0,1,500M,216.1,95,255.6,154,2.3,10,18,9,1,0
441-8902,138,0,1,1.5G,134.5,70,127.5,78,15.9,5,0,0,1,0
408-3322,95,0,0,0,176.8,75,201,106,9.9,2,7.4,2,1,0
365-1820,132,1,0,0,138.7,66,141.2,106,22.5,4,7.8,5,5,0
406-6516,29,0,1,250M,140.2,67,287.2,107,12.4,9,9,2,0,0
358-5119,111,0,0,0,206.1,69,214.8,47,13.6,9,2.6,1,1,0
422-4247,143,0,0,0,91.9,66,147.7,60,44.9,20,0,0,2,0
359-1699,111,0,0,0,230.9,101,153.3,98,12.8,8,11,3,1,1
363-5174,124,0,1,1.5G,141.1,53,248.4,116,16.9,12,9.7,1,0,0
409-9825,119,1,1,1G,135.2,56,166.1,116,16.2,10,17.6,6,0,0
379-6187,101,0,0,0,229.8,72,200,75,3.2,4,11.5,2,2,1
416-5618,131,0,0,0,220.2,84,210.7,118,23.5,11,5.7,1,3,0
390-6999,70,1,0,0,212.3,65,219.7,97,34.1,14,9.4,5,2,0
432-5703,109,0,0,0,172.9,69,194.2,94,12,10,3.4,1,0,0
400-9334,141,0,0,0,50.9,54,168.2,111,4.2,6,0.3,1,4,0
425-7603,49,1,0,0,199.4,51,218.8,103,16.8,15,13.9,4,4,1
372-7216,81,0,0,0,123,60,97.8,76,48.7,6,0,0,3,1
369-9476,79,0,0,0,227,66,225.2,119,51.8,11,13.6,1,4,1
390-8441,121,0,0,0,176.4,58,161.8,87,11.4,5,0,0,4,0
409-1098,126,0,0,0,141.2,40,183.3,99,26.7,16,14.4,3,3,1
374-6855,80,0,1,1G,217,67,218.7,120,18.1,11,0,0,0,0
410-4590,86,1,0,0,218.7,79,173.3,114,11.3,10,27.5,12,1,1
420-9103,65,0,0,0,167,80,103.9,122,16.6,11,9.5,3,2,0
355-6314,35,0,0,0,201,93,298.9,119,24.3,13,12.1,4,1,0
427-9783,135,1,0,0,95.9,51,198.6,87,3.1,2,18.7,4,3,1
369-5848,87,0,1,250M,216.6,73,204.8,85,36.8,11,10.8,3,3,1
413-5693,214,0,0,0,316.7,91,244.5,117,42.8,16,5.2,1,2,0
392-4197,98,0,1,100M,220,89,152.8,96,31.1,13,6.3,3,1,1
408-6945,134,0,1,250M,226,82,186.4,81,9.2,6,14.3,6,4,1
416-4560,175,0,0,0,190.6,80,233.4,118,30.3,15,11.4,1,2,0
415-2137,94,0,0,0,149.7,54,185.6,80,10.7,5,11.1,3,2,0
388-6050,45,0,1,500M,160.2,72,134.8,99,46.2,12,15.2,5,2,0
355-3148,83,0,1,1G,218.3,97,185.3,43,49,16,7.5,3,1,0
445-6249,111,0,1,1.5G,144.9,69,199,80,10.9,4,15.1,2,5,0
365-8214,57,0,1,500M,246.1,97,151.4,96,42.5,7,0,0,2,0
384-9696,90,0,1,1.5G,157.1,44,209.7,127,22.4,9,13.3,3,1,0
438-9373,156,0,0,0,113.9,65,150.5,89,49.9,9,2.1,1,0,0
367-5217,127,0,0,0,65.2,70,151.5,98,37,15,2.4,1,3,0
360-9638,92,1,0,0,300.4,89,202.5,74,15.4,2,18.1,7,0,1
419-7753,69,0,0,0,210.7,106,184.5,104,14.9,12,5.7,3,0,0
417-8534,143,0,0,0,201.9,46,175.6,122,10.9,6,13.1,2,1,1
428-5340,65,0,0,0,168.6,41,179.2,57,7.5,3,2.4,1,0,0
450-6353,59,0,0,0,90.4,54,147.5,89,20.4,22,0,0,3,0
435-6428,92,0,1,1.5G,146.7,44,264,126,30.2,18,14.3,2,1,0
414-6104,130,0,0,0,220.1,59,277.7,141,30.4,10,11.5,2,2,0
417-2319,65,0,0,0,124.1,37,144.3,65,6.6,10,13.5,5,2,0
402-8857,99,0,1,1.5G,151.5,63,280.1,106,26.3,3,4.9,3,2,0
395-1619,24,0,0,0,217.1,63,261.6,114,16.6,6,18.7,5,3,1
448-8418,43,0,0,0,202.8,81,171.2,99,5.8,7,0,0,1,0
418-3370,48,1,1,1.5G,151.9,43,145.4,95,19.5,5,19.9,8,2,1
446-9821,94,0,0,0,79.6,48,194.8,55,5.6,6,18.3,3,4,0
420-1245,94,1,1,1.5G,171.4,49,168,78,0,0,28.4,7,1,0
413-1305,54,0,0,0,118.1,69,149.4,103,2.5,2,13.1,3,1,0
416-1122,177,0,0,0,172.7,64,158.6,70,8.9,8,8,2,0,0
436-4503,144,0,0,0,263.9,86,250,104,19.8,9,13.8,1,0,1
366-7334,114,1,0,0,210.5,73,222.4,93,4.1,4,24.5,6,1,0
414-8014,96,0,0,0,247.1,96,261.2,121,10.5,10,8.5,2,1,0
443-5676,114,1,0,0,138.6,65,169.8,102,17.6,9,10.6,6,1,0
376-9672,87,0,1,100M,172,63,111.7,43,39.6,14,19.1,7,4,0
415-7940,48,0,1,250M,91.8,44,163,61,40.6,12,5.1,2,2,0
449-7809,113,0,0,0,172.4,66,112.3,102,36.3,15,7.7,3,1,0
447-6907,96,0,0,0,146,48,145.2,72,21.8,11,7.9,2,1,0
440-7191,137,0,0,0,211.3,111,202.1,107,10,7,15.5,6,0,0
402-2679,55,0,0,0,295.6,78,259.4,76,14.3,5,11.2,1,1,0
448-6670,115,0,0,0,185.2,63,236.4,82,0,0,15.7,5,2,0
432-4024,112,0,0,0,207.4,43,189.8,108,15.7,13,13.1,1,1,0
395-6214,103,0,0,0,177.9,74,152.1,56,33.7,15,11.4,3,2,1
378-9515,102,0,0,0,182.9,70,196.6,107,11.4,5,16.7,5,1,1
366-7507,88,0,1,500M,216.5,89,198.5,135,9.1,10,1.9,2,0,0
360-9089,98,0,0,0,108,55,197.7,82,13.7,6,8.1,1,4,1
368-8120,78,0,1,1G,145.9,67,158.9,66,35.3,10,13.2,2,2,0
450-2161,23,0,0,0,215.9,50,241.6,85,6.8,11,9.8,2,3,0
409-3010,71,0,1,250M,139.4,76,138.5,80,11.3,14,0,0,3,0
366-3615,121,0,0,0,98.5,69,245.2,124,23.2,15,23,6,2,1
444-4403,98,0,0,0,103,52,128.3,86,3.3,6,13.1,6,0,0
418-9749,81,1,0,0,178.4,63,87.5,74,7.6,6,13.7,5,2,0
366-9497,79,0,1,100M,253.2,59,256.3,79,4.8,2,11,3,1,0
380-1184,136,0,1,100M,172.2,107,176.8,84,7.4,6,0,0,3,0
426-4853,37,0,0,0,142.7,66,185.1,100,9.5,1,15.6,3,1,0
353-7624,172,0,0,0,167.4,55,248.9,119,17.2,5,9.5,2,1,0
398-1492,91,1,1,1G,164.5,76,238,97,15.5,3,10.6,4,1,0
402-2851,37,0,0,0,183.3,66,162.6,112,17.7,11,9.4,1,1,0
377-4231,161,0,0,0,188.1,74,204.1,96,7.8,11,6.8,4,2,1
448-9056,83,0,0,0,228.2,86,234.6,93,44.3,17,7,1,1,1
434-3749,141,0,0,0,202.8,85,176.6,75,39.5,17,16.2,8,0,0
402-6331,116,0,1,1.5G,151,59,204.5,108,0,0,0,0,1,0
380-6963,51,0,1,1G,210.8,117,240.2,111,28.6,16,4.5,2,0,0
431-2496,87,0,0,0,124.6,47,252,111,28.3,14,19.3,8,1,0
374-5214,49,0,1,1.5G,276.8,82,241.4,120,7.8,7,12.2,3,1,0
430-8002,150,0,0,0,153.2,68,122.1,83,4.7,5,12.4,4,0,0
438-9506,116,1,1,1.5G,221.9,96,173,94,15.9,9,20.8,7,4,1
360-5949,152,0,1,1G,40.4,56,142.4,80,10.2,5,17.7,6,3,0
376-4435,77,0,0,0,163.8,47,126,121,8.6,9,13.8,5,2,0
354-8095,171,1,0,0,236.7,73,236.5,78,36.6,15,13.9,5,3,1
363-9735,73,0,0,0,176.3,71,203.2,70,5,4,12.5,4,1,0
375-1981,109,0,1,1.5G,209.1,45,136.6,66,6.7,8,0,0,2,1
437-4165,92,0,0,0,163.1,103,193.3,110,13.7,6,19.8,5,1,0
388-6238,40,0,0,0,145.5,55,124.5,55,3.1,4,6.9,3,2,0
450-2460,149,0,1,1.5G,212.5,91,178.4,60,17.5,9,0,0,1,0
438-5744,1,0,0,0,125.2,57,126.8,98,9.4,9,8.4,1,0,0
376-6082,134,0,0,0,172.8,79,227.4,83,12.7,14,9.3,2,3,0
400-4658,138,0,0,0,180.7,64,193.1,88,23.7,6,12,2,2,0
450-4512,118,0,0,0,170,62,249.6,123,22.5,5,3,1,2,0
406-3039,86,0,1,500M,177.3,70,160.4,63,10.6,13,12.1,4,2,1
397-4374,62,0,0,0,217,68,217.5,75,25.9,12,11.9,5,1,0
422-5108,181,0,1,1G,222.5,79,118.3,104,7.4,10,8.2,1,6,0
366-6128,105,0,1,500M,196.1,66,285.6,118,0,0,7.4,3,1,0
392-5594,111,0,0,0,224.9,69,279.2,86,15.5,7,8.7,3,2,1
443-2928,146,0,0,0,203.1,68,240.1,121,4.3,10,15,3,1,0
382-4448,35,0,0,0,171.9,71,195.1,110,21.7,12,0.5,1,0,0
431-7286,46,0,0,0,111,63,195.2,102,6.9,12,10.9,1,0,0
425-9725,200,0,0,0,182.7,72,91.6,99,13.4,15,6.4,2,3,0
372-6099,104,0,0,0,152.9,79,192.3,73,4.5,1,9.4,1,0,0
419-5292,130,0,0,0,234.6,57,207.2,111,30.2,8,19.1,6,2,0
450-9683,45,0,0,0,158.8,55,152.4,93,59.1,21,13.5,1,4,1
430-3883,132,0,0,0,196.8,76,159.2,69,36.6,5,17.6,1,1,0
394-3011,140,1,0,0,149.1,51,271.6,139,5.4,5,22.9,9,2,1
424-6111,78,0,0,0,235.9,69,231.2,94,27.8,18,12.3,3,1,0
361-6544,131,0,1,500M,191.4,69,173.2,82,37.8,13,12.5,2,1,0
423-7641,134,0,1,1G,124.8,54,189.1,93,18.8,1,0.3,2,3,0
406-4173,139,0,1,500M,132.2,65,148.8,86,12.5,5,13.9,3,1,0
412-4207,65,0,0,0,141.6,58,148.9,61,27.5,8,14.3,5,0,0
440-4966,64,0,0,0,183.6,69,154.3,117,22.4,11,0.6,1,0,0
379-8527,121,0,1,1.5G,40.5,48,117,83,34.1,12,19.9,5,3,0
351-7981,96,0,1,1.5G,93.8,61,219.2,124,2.3,1,1,1,1,0
373-3915,192,0,0,0,233.7,76,216.6,107,17.8,5,0,0,1,0
400-3028,85,0,0,0,188.9,75,190.1,89,20.2,4,5.3,2,5,1
433-4681,92,0,0,0,232,99,206,86,26.6,12,2.3,1,2,0
429-8065,76,0,0,0,260.9,106,221.8,87,9.6,2,13.1,4,3,1
439-4153,84,0,1,2G,165.5,59,180,60,9.2,7,16.3,2,2,0
449-7777,59,0,0,0,201.9,72,239.2,96,16.3,6,3.3,3,2,0
449-7893,13,0,0,0,211.4,67,218.6,86,11.7,4,10.4,2,3,1
412-2826,60,0,0,0,164.1,80,265.2,83,9.1,4,19,2,0,0
378-8711,133,0,0,0,200.1,87,230.3,102,43.8,13,8.6,1,3,1
444-8269,113,0,0,0,196.3,106,200.3,119,17.1,21,10,3,0,0
373-6836,119,0,0,0,176.2,68,195.9,130,16.6,11,12.6,1,0,0
413-9315,109,0,0,0,290.6,73,248.8,77,17.7,13,5.9,3,0,1
400-2962,16,0,0,0,175.1,68,266.9,111,4.7,6,9.2,4,1,0
360-9258,118,0,0,0,216.2,92,224,82,26.9,11,0,0,2,0
377-2059,50,0,0,0,98.5,64,163.3,69,17.7,9,7.1,3,0,0
352-2183,127,0,0,0,171.4,51,227.6,115,30.3,9,15,3,2,0
386-3732,68,0,1,500M,208.9,86,243.3,89,10.2,12,7.5,1,0,0
436-2001,77,0,1,1.5G,159.2,63,187,102,12.3,8,12.8,2,1,0
431-1258,91,0,0,0,154.6,76,118.7,67,6.8,10,6.6,2,2,0
388-5103,88,0,1,1G,172.7,57,232.7,57,67.5,25,0.2,1,3,0
416-6337,120,0,0,0,145.3,46,203,95,5.6,5,10.5,2,0,0
361-6255,147,0,0,0,132.1,65,153.6,93,9.5,6,18.5,7,4,0
361-4369,76,0,0,0,126.8,67,101.3,46,8.9,11,6.8,1,1,0
379-5928,189,0,1,2G,247.5,77,282.6,98,13.6,3,14,2,0,0
426-6877,159,0,0,0,81.7,61,165,83,18.5,5,8,3,1,0
419-9080,190,0,0,0,151.2,31,139.5,84,13.4,13,0,0,0,0
448-8487,68,0,0,0,154.5,71,127.7,83,45,14,3,1,3,1
